person_id,name,given_name,gender,book_id,notes
dernburg_bernhard,Dernburg,Bernhard,male,Slobodian (2018),
derobert_eugene,Derobert,Eugéne,male,Clavin (2015),
derso_alois,Derso,Alois,male,Clavin (2015),
dewey_charles_s,Dewey,Charles S.,male,Martin (2022),
dewey_john,Dewey,John,male,Sluga (2013),
dexter_harry,Dexter,Harry,male,Clavin (2015),
di_nola_professor_angelo,Di Nola,Professor Angelo,male,Clavin (2015),
diagne_blaise,Diagne,Blaise,male,Sluga (2013),
diaz_balart_rafael_lincoln,Diaz-Balart,Rafael Lincoln,male,Slobodian (2018),
dickinson_goldsworthy_lowes,Dickinson,Goldsworthy Lowes,male,Sluga (2013),
dickinson_willoughby,Dickinson,Willoughby,male,Sluga (2013),
dodds_harold_w,Dodds,Harold W.,male,Clavin (2015),
dole_bob,Dole,Bob,male,Slobodian (2018),
dolezal_francois,Dolézal,François,male,Clavin (2015),
domaniewski_w,Domaniewski,W.,male,Clavin (2015),
drago_luis,Drago,Luis,male,Martin (2022),
drascher_wahrhold,Drascher,Wahrhold,male,Slobodian (2018),
drummond_david,Drummond,David,male,Martin (2022),
drummond_eric,Drummond,Eric,male,Martin (2022),
drummond_eric,Drummond,Eric,male,Sluga (2013),
drummond_eric,Drummond,Eric,male,Clavin (2015),
du_bois_web,Du Bois,W. E. B.,male,Martin (2022),
du_bois_web,Du Bois,W. E. B.,male,Mazower (2009),
du_bois_web,Du Bois,W. E. B.,male,Sluga (2013),
dulles_john_foster,Dulles,John Foster,male,Clavin (2015),
dulles_john_foster,Dulles,John Foster,male,Mazower (2009),
dulles_john_foster,Dulles,John Foster,male,Slobodian (2018),
duparc_alain,DuParc,Alain,male,Clavin (2015),
durkheim_emile,Durkheim,Emile,male,Sluga (2013),
earle_edward_meade,Earle,Edward Meade,male,Clavin (2015),
eastman_crystal,Eastman,Crystal,female,Mazower (2009),
eden_sir_anthony,Eden,Sir Anthony,male,Clavin (2015),
einaudi_luigi,Einaudi,Luigi,male,Slobodian (2018),
einstein_albert,Einstein,Albert,male,Sluga (2013),
einthoven_willem,Einthoven,Willem,male,Slobodian (2018),
eisenhower_dwight_d,Eisenhower,Dwight D.,male,Slobodian (2018),
elbel_paul,Elbel,Paul,male,Clavin (2015),
elliot_william_yandell,Elliot,William Yandell,male,Martin (2022),
ellis_howard_s,Ellis,Howard S.,male,Slobodian (2018),
engels_friedrich,Engels,Friedrich,male,Martin (2022),
engels_friedrich,Engels,Friedrich,male,Slobodian (2018),
erhard_ludwig,Erhard,Ludwig,male,Slobodian (2018),
eucken_walter,Eucken,Walter,male,Slobodian (2018),
evatt_h_v,Evatt,H. V.,male,Sluga (2013),
feis_herbert,Feis,Herbert,male,Clavin (2015),
ferguson_adam,Ferguson,Adam,male,Slobodian (2018),
fertig_lawrence,Fertig,Lawrence,male,Slobodian (2018),
field_henry,Field,Henry,male,Mazower (2009),
filene_edward,Filene,Edward,male,Clavin (2015),
fisher_antony,Fisher,Antony,male,Slobodian (2018),
fisher_irving,Fisher,Irving,male,Clavin (2015),
fisher_irving,Fisher,Irving,male,Slobodian (2018),
fisher_r,Fisher,R.,male,Clavin (2015),
flandin_pierre_etienne,Flandin,Pierre-Étienne,male,Clavin (2015),
flandin_pierre_etienne,Flandin,Pierre-Étienne,male,Martin (2022),
flexner_abraham,Flexner,Abraham,male,Clavin (2015),
forbes_john,Forbes,John,male,Clavin (2015),
ford_gerald,Ford,Gerald,male,Sluga (2013),
ford_henry,Ford,Henry,male,Martin (2022),
fosdick_raymond,Fosdick,Raymond,male,Clavin (2015),
fosdick_raymond,Fosdick,Raymond,male,Sluga (2013),
foucault_michel,Foucault,Michel,male,Slobodian (2018),
fournier_pierre,Fournier,Pierre,male,Martin (2022),
franco_francisco,Franco,Francisco,male,Mazower (2009),
francqui_emile,Francqui,Émile,male,Martin (2022),
frankfurter_felix,Frankfurter,Felix,male,Clavin (2015),
fraser_leon,Fraser,Leon,male,Clavin (2015),
fraser_leon,Fraser,Leon,male,Martin (2022),
frasheri_mehdi,Frasheri,Mehdi,male,Martin (2022),
frazier_e_franklin,Frazier,E. Franklin,male,Sluga (2013),
fremantle_w_h,Fremantle,W. H.,male,Sluga (2013),
frere_maurice,Frére,Maurice,male,Clavin (2015),
fried_alfred,Fried,Alfred,male,Sluga (2013),
fried_ferdinand,Fried,Ferdinand,male,Slobodian (2018),
friedman_milton,Friedman,Milton,male,Slobodian (2018),
friedmann_wolfgang,Friedmann,Wolfgang,male,Mazower (2009),
frisch_ragnar,Frisch,Ragnar,male,Clavin (2015),
frumkin_grzegorz,Frumkin,Grzegorz,male,Clavin (2015),
gabriel_emmanuel,Gabriel,Emmanuel,male,Sluga (2013),
galbraith_john_kenneth,Galbraith,John Kenneth,male,Slobodian (2018),
gandhi_mohandas,Gandhi,Mohandas,male,Mazower (2009),
gandhi_mohandas,Gandhi,Mohandas,male,Sluga (2013),
garavini_giuliano,Garavini,Giuliano,male,Slobodian (2018),
gardner_walter,Gardner,Walter,male,Martin (2022),
gaulle_charles_de,Gaulle,Charles de,male,Slobodian (2018),
gay_edwin,Gay,Edwin,male,Slobodian (2018),
george_v_king,George V,King,male,Clavin (2015),
george_v_king,George V,King,male,Mazower (2009),
gerig_benjamin,Gerig,Benjamin,male,Mazower (2009),
germain_martin_louis,Germain-Martin,Louis,male,Clavin (2015),
gibbons_william_henry_panton,Gibbons,William Henry Panton,male,Sluga (2013),
gibbs_herbert,Gibbs,Herbert,male,Martin (2022),
gilbert_prentiss,Gilbert,Prentiss,male,Clavin (2015),
gilbert_seymour_parker,Gilbert,Seymour Parker,male,Martin (2022),
gildersleeve_virginia,Gildersleeve,Virginia,female,Sluga (2013),
gill_stephen,Gill,Stephen,male,Slobodian (2018),
gini_corrado,Gini,Corrado,male,Martin (2022),
glenister_archibald,Glenister,Archibald,male,Martin (2022),
goebbels_joseph,Goebbels,Joseph,male,Martin (2022),
goldenweiser_emanuel,Goldenweiser,Emanuel,male,Clavin (2015),
goldenweiser_emanuel,Goldenweiser,Emanuel,male,Martin (2022),
goldwater_barry,Goldwater,Barry,male,Slobodian (2018),
goodrich_carter,Goodrich,Carter,male,Clavin (2015),
goodrich_pierre,Goodrich,Pierre,male,Slobodian (2018),
gordon_mrs_ogilvie,Gordon,Mrs. Ogilvie,female,Sluga (2013),
goring_hermann,Göring,Hermann,male,Clavin (2015),
grabski_wladyslaw,Grabski,Wladyslaw,male,Clavin (2015),
grady_henry,Grady,Henry,male,Clavin (2015),
graham_frank,Graham,Frank,male,Martin (2022),
grandi_dino,Grandi,Dino,male,Clavin (2015),
gray_john,Gray,John,male,Slobodian (2018),
green_thomas_hill,Green,Thomas Hill,male,Mazower (2009),
greenspan_alan,Greenspan,Alan,male,Slobodian (2018),
gregory_theodore,Gregory,Theodore,male,Clavin (2015),
gregory_theodore,Gregory,Theodore,male,Slobodian (2018),
grunberg_carl,Grünberg,Carl,male,Slobodian (2018),
gueye_djeme_momar,Gueye,Djeme Momar,male,Slobodian (2018),
gulick_luther,Gulick,Luther,male,Clavin (2015),
haak_dr_a_h,Haak,Dr A. H.,male,Clavin (2015),
haber_fritz,Haber,Fritz,male,Martin (2022),
haberler_gottfried,Haberler,Gottfried,male,Clavin (2015),
haberler_gottfried,Haberler,Gottfried,male,Slobodian (2018),
hailie_salassie_emperor,Hailie Salassie,Emperor,male,Clavin (2015),
halifax_lord,Halifax,Lord,male,Clavin (2015),
halifax_lord,Halifax,Lord,male,Mazower (2009),
hall_h_duncan,Hall,H. Duncan,male,Sluga (2013),
hall_noel,Hall,Noel,male,Clavin (2015),
hallstein_walter,Hallstein,Walter,male,Slobodian (2018),
hambro_carl_j,Hambro,Carl J.,male,Clavin (2015),
hamel_joost_adriaan_van,Hamel,Joost Adriaan van,male,Martin (2022),
hamilton_alice,Hamilton,Alice,female,Sluga (2013),
hammarskjold_dag,Hammarskjöld,Dag,male,Clavin (2015),
hammarskjold_dag,Hammarskjöld,Dag,male,Mazower (2009),
hanc_josef,Hanc,Josef,male,Clavin (2015),
hankey_maurice,Hankey,Maurice,male,Clavin (2015),
hankey_maurice,Hankey,Maurice,male,Martin (2022),
hankey_maurice,Hankey,Maurice,male,Mazower (2009),
hansen_alvin,Hansen,Alvin,male,Clavin (2015),
hansen_alvin,Hansen,Alvin,male,Slobodian (2018),
haq_mahbub_ul,Haq,Mahbub ul,male,Slobodian (2018),
hardin_garrett,Hardin,Garrett,male,Slobodian (2018),
hardt_michael,Hardt,Michael,male,Mazower (2009),
harrison_george,Harrison,George,male,Clavin (2015),
harrod_roy,Harrod,Roy,male,Clavin (2015),
hart_g_h_c,Hart,G. H. C.,male,Clavin (2015),
haussmann_baron_george_eugene,Haussmann,Baron George-Eugène,male,Slobodian (2018),
hawtrey_ralph,Hawtrey,Ralph,male,Clavin (2015),
hayek_frederich,Hayek,Frederich,male,Clavin (2015),
hayek_friedrich,Hayek,Friedrich,male,Slobodian (2018),
hazlitt_henry,Hazlitt,Henry,male,Slobodian (2018),
heckscher_eli,Heckscher,Eli,male,Slobodian (2018),
hegedus_lorant,Hegedűs,Lóránt,male,Clavin (2015),
hegel_gwf,Hegel,G. W. F.,male,Mazower (2009),
heilperin_michael,Heilperin,Michael,male,Slobodian (2018),
heller_hermann,Heller,Hermann,male,Slobodian (2018),
henderson_arthur,Henderson,Arthur,male,Clavin (2015),
henderson_hubert_d,Henderson,Hubert D.,male,Martin (2022),
herriot_edouard,Herriot,Édouard,male,Clavin (2015),
herriot_edouard,Herriot,Édouard,male,Martin (2022),
herve_gustave,Hervé,Gustave,male,Sluga (2013),
hhaida_rustem,HHaida,Rustem,male,Sluga (2013),
hilgerdt_folke,Hilgerdt,Folke,male,Clavin (2015),
hill_martin,Hill,Martin,male,Clavin (2015),
hilton_john,Hilton,John,male,Clavin (2015),
hitler_adolf,Hitler,Adolf,male,Clavin (2015),
hitler_adolf,Hitler,Adolf,male,Martin (2022),
hitler_adolf,Hitler,Adolf,male,Mazower (2009),
hitler_adolf,Hitler,Adolf,male,Slobodian (2018),
hoare_samuel,Hoare,Samuel,male,Martin (2022),
hobhouse_leonard,Hobhouse,Leonard,male,Mazower (2009),
hobson_john,Hobson,John,male,Mazower (2009),
hobson_john,Hobson,John,male,Sluga (2013),
hoden_marcel,Hoden,Marcel,male,Clavin (2015),
von_hoesch_leopold,von Hoesch,Leopold,male,Clavin (2015),
hoffinger_max,Hoffinger,Max,male,Martin (2022),
hoffmann_josef,Hoffmann,Josef,male,Slobodian (2018),
hoffmann_stanley,Hoffmann,Stanley,male,Sluga (2013),
hoover_herbert,Hoover,Herbert,male,Clavin (2015),
hoover_herbert,Hoover,Herbert,male,Martin (2022),
hoover_herbert,Hoover,Herbert,male,Mazower (2009),
hoppmann_erich,Hoppmann,Erich,male,Slobodian (2018),
horsbrugh_florence,Horsbrugh,Florence,female,Sluga (2013),
horwood_owen,Horwood,Owen,male,Slobodian (2018),
houphouet_boigny_felix,Houphouët-Boigny,Félix,male,Slobodian (2018),
house_colonel,House,Colonel,male,Sluga (2013),
house_edward,House,Edward,male,Martin (2022),
houston_herbert,Houston,Herbert,male,Sluga (2013),
howeson_john,Howeson,John,male,Martin (2022),
howland_charles,Howland,Charles,male,Martin (2022),
hudson_manley,Hudson,Manley,male,Clavin (2015),
hughan_jessie,Hughan,Jessie,male,Martin (2022),
hughes_billy,Hughes,Billy,male,Mazower (2009),
hull_cordell,Hull,Cordell,male,Clavin (2015),
hull_cordell,Hull,Cordell,male,Martin (2022),
hull_cordell,Hull,Cordell,male,Mazower (2009),
hull_cordell,Hull,Cordell,male,Slobodian (2018),
hunger_jan,Hunger,Jan,male,Martin (2022),
hunold_albert,Hunold,Albert,male,Slobodian (2018),
hurley_edward,Hurley,Edward,male,Martin (2022),
hussein_saddam,Hussein,Saddam,male,Mazower (2009),
hutt_william_h,Hutt,William H.,male,Slobodian (2018),
huxley_julian,Huxley,Julian,male,Mazower (2009),
huxley_julian,Huxley,Julian,male,Sluga (2013),
ibanez_ojeda_pedro,Ibañez Ojeda,Pedro,male,Slobodian (2018),
ikenberry_g_john,Ikenberry,G. John,male,Mazower (2009),
isaacs_harold,Isaacs,Harold,male,Sluga (2013),
jabotinsky_vladimir,Jabotinsky,Vladimir,male,Mazower (2009),
jacklin_seymour,Jacklin,Seymour,male,Clavin (2015),
jackson_ben,Jackson,Ben,male,Slobodian (2018),
jackson_john_h,Jackson,John H.,male,Slobodian (2018),
jacobsson_per,Jacobsson,Per,male,Clavin (2015),
jacobsson_per,Jacobsson,Per,male,Martin (2022),
jahn_gunnar,Jahn,Gunnar,male,Clavin (2015),
janssen_albert,Janssen,Albert,male,Clavin (2015),
jaulme_gustave_louis,Jaulme,Gustave-Louis,male,Slobodian (2018),
jebb_gladwyn,Jebb,Gladwyn,male,Mazower (2009),
jebb_gladwyn,Jebb,Gladwyn,male,Sluga (2013),
jenks_clarence,Jenks,Clarence,female,Sluga (2013),
jessup_philip_c,Jessup,Philip C.,male,Slobodian (2018),
johnson_harry,Johnson,Harry,male,Slobodian (2018),
johnson_lyndon_b,Johnson,Lyndon B.,male,Slobodian (2018),
juarez_benito,Juárez,Benito,male,Martin (2022),
juraschek_franz,Juraschek,Franz,male,Slobodian (2018),
kaldor_nicholas,Kaldor,Nicholas,male,Slobodian (2018),
kant_immanuel,Kant,Immanuel,male,Clavin (2015),
kant_immanuel,Kant,Immanuel,male,Martin (2022),
kant_immanuel,Kant,Immanuel,male,Mazower (2009),
kant_immanuel,Kant,Immanuel,male,Slobodian (2018),
kant_immanuel,Kant,Immanuel,male,Sluga (2013),
karamanos_ioannis,Karamanos,Ioannis,male,Martin (2022),
karpinski_zygmunt,Karpinski,Zygmunt,male,Clavin (2015),
